@PRODUCTS,YOKOGAWA,CENTUM,,
@ID,BKEEdtOgMsg,,,
%OG0102,20MKF69AA131XB11  转子线圈进水处取样电磁阀开指令  返回,W,,
%OG0103,20CBA01CHC01S001 热工保护信号1(振动断水油压低超速)至电气保护C1屏 返回,W,,
%OG0104,20CBA01CHC02S001 热工保护信号2(振动断水油压低超速)至电气保护C2屏 返回,W,,
%OG0105,20CBA01CHC03S001 热工保护信号3(振动断水油压低超速)至电气保护C3屏 返回,W,,
%OG0106,20MKF20AC001XB11  启动/停止定子冷却水电加热器(长脉冲)  返回,W,,
%OG0107,20MKF11AP001XB11-A  启动定子冷却水泵A指令1  返回,W,,
%OG0108,20MKF11AP001XB12-A  停止定子冷却水泵A指令1  返回,W,,
%OG0109,20MKF61AP001XB11-A  启动转子冷却水泵A指令1  返回,W,,
%OG0110,20MKF61AP001XB12-A  停止转子冷却水泵A指令1  返回,W,,
%OG0111,20MKF12AP001XB11-A  启动定子冷却水泵B指令1  返回,W,,
%OG0112,20MKF12AP001XB12-A  停止定子冷却水泵B指令1  返回,W,,
%OG0113,20MKF62AP001XB11-A  启动转子冷却水泵B指令1  返回,W,,
%OG0114,20MKF62AP001XB12-A  停止转子冷却水泵B指令1  返回,W,,
%OG0115,20MKF11AP001XB11-B  启动定子冷却水泵A指令2  返回,W,,
%OG0116,20MKF11AP001XB12-B  停止定子冷却水泵A指令2  返回,W,,
%OG0117,20MKF61AP001XB11-B  启动转子冷却水泵A指令2  返回,W,,
%OG0118,20MKF61AP001XB12-B  停止转子冷却水泵A指令2  返回,W,,
%OG0119,20MKF12AP001XB11-B  启动定子冷却水泵B指令2  返回,W,,
%OG0120,20MKF12AP001XB12-B  停止定子冷却水泵B指令2  返回,W,,
%OG0121,20MKF62AP001XB11-B  启动转子冷却水泵B指令2  返回,W,,
%OG0122,20MKF62AP001XB12-B  停止转子冷却水泵B指令2  返回,W,,
%OG0123,20CBA02CHC01S001 热工保护信号4(油位低轴瓦温度高等)至电气保护C1屏 返回,W,,
%OG0124,20CBA02CHC02S001 热工保护信号5(油位低轴瓦温度高等)至电气保护C1屏 返回,W,,
%OG0125,20CBA02CHC03S001 热工保护信号6(油位低轴瓦温度高等)至电气保护C1屏 返回,W,,
%OG0126,20GCK31AA002XB11  定子冷却水箱补水电动门开指令  返回,W,,
%OG0127,20GCK31AA002XB12  定子冷却水箱补水电动门关指令  返回,W,,
%OG0128,20CDP11XB11  盘车装置启动指令  返回,W,,
%OG0129,20CDP11XB12  盘车装置停止指令  返回,W,,
%OG0130,20CDP11XB13  调相机零转速  返回,W,,
%OG0131,20CDP11XB14  盘车装置DCS许可启动指令  返回,W,,
%OG0132,20CDP11XB15  盘车装置高压顶轴油有压正常  返回,W,,
%OG0133,20CDP11XB16  盘车装置风机启动指令  返回,W,,
%OG0134,20CDP11XB17  盘车装置风机停止指令  返回,W,,
%OG0135,#2定子冷却水箱补水门联锁投入 动作,G,,
%OG0136,#2定冷水泵人工切泵投入 动作,G,,
%OG0137,#2定子冷却水泵A联锁投入 动作,G,,
%OG0138,#2定冷水泵周期切泵投入 动作,G,,
%OG0139,#2定子冷却水泵B联锁投入 动作,G,,
%OG0140,#2转冷水泵人工切泵投入 动作,G,,
%OG0141,#2转子冷却水泵A联锁投入 动作,G,,
%OG0142,#2转冷水泵周期切泵投入 动作,G,,
%OG0143,#2转子冷却水泵B联锁投入 动作,G,,
%OG0144,#2转子冷却水箱液位联锁投入 动作,G,,
%OG0145,#2转子冷却水泵A为主泵投入 动作,G,,
%OG0146,#2转子冷却水泵B为主泵投入 动作,G,,
%OG0147,#2定子冷却水泵A为主泵投入 动作,G,,
%OG0148,#2定子冷却水泵B为主泵投入 动作,G,,
%OG0149,#2机热工主保护急停按钮动作投入 动作,G,,
%OG0150,#2机热工主保护定子冷却水流量低低投入 动作,G,,
%OG0151,#2机热工主保护冷却水流量低低且转速大投入 动作,G,,
%OG0152,#2机热工主保护润滑油供油口压力低投入 动作,G,,
%OG0153,#2机热工主保护交流润滑油泵AB都停止投入 动作,G,,
%OG0154,#2机热工主保护润滑主油箱油位低低投入 动作,G,,
%OG0155,#2机热工主保护轴瓦温度高高投入 动作,G,,
%OG0156,#2机热工主保护轴振高高投入 动作,G,,
%OG0157,#2机热工主保护超速投入 动作,G,,
%OG0158,#2机热工主保护跳闸复位 动作,G,,
%OG0159,#2定子冷却水箱补水门联锁投入 返回,G,,
%OG0160,#2定冷水泵人工切泵投入 返回,G,,
%OG0161,#2定子冷却水泵A联锁投入 返回,G,,
%OG0162,#2定冷水泵周期切泵投入 返回,G,,
%OG0163,#2定子冷却水泵B联锁投入 返回,G,,
%OG0164,#2转冷水泵人工切泵投入 返回,G,,
%OG0165,#2转子冷却水泵A联锁投入 返回,G,,
%OG0166,#2转冷水泵周期切泵投入 返回,G,,
%OG0167,#2转子冷却水泵B联锁投入 返回,G,,
%OG0168,#2转子冷却水箱液位联锁投入 返回,G,,
%OG0169,#2转子冷却水泵A为主泵投入 返回,G,,
%OG0170,#2转子冷却水泵B为主泵投入 返回,G,,
%OG0171,#2定子冷却水泵A为主泵投入 返回,G,,
%OG0172,#2定子冷却水泵B为主泵投入 返回,G,,
%OG0173,#2机热工主保护急停按钮动作投入 返回,G,,
%OG0174,#2机热工主保护定子冷却水流量低低投入 返回,G,,
%OG0175,#2机热工主保护冷却水流量低低且转速大投入 返回,G,,
%OG0176,#2机热工主保护润滑油供油口压力低投入 返回,G,,
%OG0177,#2机热工主保护交流润滑油泵AB都停止投入 返回,G,,
%OG0178,#2机热工主保护润滑主油箱油位低低投入 返回,G,,
%OG0179,#2机热工主保护轴瓦温度高高投入 返回,G,,
%OG0180,#2机热工主保护轴振高高投入 返回,G,,
%OG0181,#2机热工主保护超速投入 返回,G,,
%OG0182,#2机热工主保护跳闸复位 返回,G,,
%OG0183,20CDP11XG05  盘车装置拔销未动  动作,W,,
%OG0184,20CDP11XG06  盘车装置气源压力正常  动作,W,,
%OG0185,20CDP11XG07  盘车装置润滑油压正常  动作,W,,
%OG0186,20CDP11XG05  盘车装置拔销未动  返回,W,,
%OG0187,20CDP11XG06  盘车装置气源压力正常  返回,W,,
%OG0188,20CDP11XG07  盘车装置润滑油压正常  返回,W,,
%OG0189,20MKF20AC001XG04 定子冷却水电加热器外控备妥 动作,W,,
%OG0190,20MKF20AC001XG04 定子冷却水电加热器外控备妥 返回,W,,
%OG0191,,W,,
%OG0192,,W,,
%OG0193,,W,,
%OG0194,,W,,
%OG0195,,W,,
%OG0196,,W,,
%OG0197,,W,,
%OG0198,,W,,
%OG0199,,W,,
%OG0200,,W,,
%OG0201,,W,,
%OG0202,,W,,
%OG0203,,W,,
%OG0204,,W,,
%OG0205,,W,,
%OG0206,,W,,
%OG0207,,W,,
%OG0208,,W,,
%OG0209,,W,,
%OG0210,,W,,
%OG0211,,W,,
%OG0212,,W,,
%OG0213,,W,,
%OG0214,,W,,
%OG0215,,W,,
%OG0216,,W,,
%OG0217,,W,,
%OG0218,,W,,
%OG0219,,W,,
%OG0220,,W,,
%OG0221,,W,,
%OG0222,,W,,
%OG0223,,W,,
%OG0224,,W,,
%OG0225,,W,,
%OG0226,,W,,
%OG0227,,W,,
%OG0228,,W,,
%OG0229,,W,,
%OG0230,,W,,
%OG0231,,W,,
%OG0232,,W,,
%OG0233,,W,,
%OG0234,,W,,
%OG0235,,W,,
%OG0236,,W,,
%OG0237,,W,,
%OG0238,,W,,
%OG0239,,W,,
%OG0240,,W,,
%OG0241,,W,,
%OG0242,,W,,
%OG0243,,W,,
%OG0244,,W,,
%OG0245,,W,,
%OG0246,,W,,
%OG0247,,W,,
%OG0248,,W,,
%OG0249,,W,,
%OG0250,,W,,
%OG0251,,W,,
%OG0252,,W,,
%OG0253,,W,,
%OG0254,,W,,
%OG0255,,W,,
%OG0256,,W,,
%OG0257,,W,,
%OG0258,,W,,
%OG0259,,W,,
%OG0260,,W,,
%OG0261,,W,,
%OG0262,,W,,
%OG0263,,W,,
%OG0264,,W,,
%OG0265,,W,,
%OG0266,,W,,
%OG0267,,W,,
%OG0268,,W,,
%OG0269,,W,,
%OG0270,,W,,
%OG0271,,W,,
%OG0272,,W,,
%OG0273,,W,,
%OG0274,,W,,
%OG0275,,W,,
%OG0276,,W,,
%OG0277,,W,,
%OG0278,,W,,
%OG0279,,W,,
%OG0280,,W,,
%OG0281,,W,,
%OG0282,,W,,
%OG0283,,W,,
%OG0284,,W,,
%OG0285,,W,,
%OG0286,,W,,
%OG0287,,W,,
%OG0288,,W,,
%OG0289,,W,,
%OG0290,,W,,
%OG0291,,W,,
%OG0292,,W,,
%OG0293,,W,,
%OG0294,,W,,
%OG0295,,W,,
%OG0296,,W,,
%OG0297,,W,,
%OG0298,,W,,
%OG0299,,W,,
%OG0300,,W,,
%OG0301,,W,,
%OG0302,,W,,
%OG0303,,W,,
%OG0304,,W,,
%OG0305,,W,,
%OG0306,,W,,
%OG0307,,W,,
%OG0308,,W,,
%OG0309,,W,,
%OG0310,,W,,
%OG0311,,W,,
%OG0312,,W,,
%OG0313,,W,,
%OG0314,,W,,
%OG0315,,W,,
%OG0316,,W,,
%OG0317,,W,,
%OG0318,,W,,
%OG0319,,W,,
%OG0320,,W,,
%OG0321,,W,,
%OG0322,,W,,
%OG0323,,W,,
%OG0324,,W,,
%OG0325,,W,,
%OG0326,,W,,
%OG0327,,W,,
%OG0328,,W,,
%OG0329,,W,,
%OG0330,,W,,
%OG0331,,W,,
%OG0332,,W,,
%OG0333,,W,,
%OG0334,,W,,
%OG0335,,W,,
%OG0336,,W,,
%OG0337,,W,,
%OG0338,,W,,
%OG0339,,W,,
%OG0340,,W,,
